"","id","homedetails","mapthishome","comparables","street","zipcode","city","state","latitude","longitude","amount","lastupdated","valueChange","valueLow","valueHigh","percentile"
"1","2093320098","https://www.zillow.com/homedetails/120-E-7th-St-APT-3A-New-York-NY-10009/2093320098_zpid/","http://www.zillow.com/homes/2093320098_zpid/","http://www.zillow.com/homes/comps/2093320098_zpid/","120 E 7th St APT 3A","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"2","2093372707","https://www.zillow.com/homedetails/120-E-7th-St-FRNT-2-New-York-NY-10009/2093372707_zpid/","http://www.zillow.com/homes/2093372707_zpid/","http://www.zillow.com/homes/comps/2093372707_zpid/","120 E 7th St FRNT 2","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"3","2098001736","https://www.zillow.com/homedetails/120-E-7th-St-APT-5A-New-York-NY-10009/2098001736_zpid/","http://www.zillow.com/homes/2098001736_zpid/","http://www.zillow.com/homes/comps/2098001736_zpid/","120 E 7th St APT 5A","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"4","2101731413","https://www.zillow.com/homedetails/120-E-7th-St-APT-1B-New-York-NY-10009/2101731413_zpid/","http://www.zillow.com/homes/2101731413_zpid/","http://www.zillow.com/homes/comps/2101731413_zpid/","120 E 7th St APT 1B","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"5","2118428451","https://www.zillow.com/homedetails/120-E-7th-St-APT-4A-New-York-NY-10009/2118428451_zpid/","http://www.zillow.com/homes/2118428451_zpid/","http://www.zillow.com/homes/comps/2118428451_zpid/","120 E 7th St APT 4A","10009","New York","NY","40.726175","-73.984382","1052790","11/20/2018","-41675","800120","2105580","0"
"6","2125360245","https://www.zillow.com/homedetails/120-E-7th-St-APT-2A-New-York-NY-10009/2125360245_zpid/","http://www.zillow.com/homes/2125360245_zpid/","http://www.zillow.com/homes/comps/2125360245_zpid/","120 E 7th St APT 2A","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"7","2125491284","https://www.zillow.com/homedetails/120-E-7th-St-FRNT-1-New-York-NY-10009/2125491284_zpid/","http://www.zillow.com/homes/2125491284_zpid/","http://www.zillow.com/homes/comps/2125491284_zpid/","120 E 7th St FRNT 1","10009","New York","NY","40.726175","-73.984382","749168","11/20/2018","-12873","584351","1063819","0"
"8","2126480070","https://www.zillow.com/homedetails/120-E-7th-St-APT-1A-New-York-NY-10009/2126480070_zpid/","http://www.zillow.com/homes/2126480070_zpid/","http://www.zillow.com/homes/comps/2126480070_zpid/","120 E 7th St APT 1A","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"9","2126626856","https://www.zillow.com/homedetails/120-E-7th-St-APT-2B-New-York-NY-10009/2126626856_zpid/","http://www.zillow.com/homes/2126626856_zpid/","http://www.zillow.com/homes/comps/2126626856_zpid/","120 E 7th St APT 2B","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"10","2131542942","https://www.zillow.com/homedetails/120-E-7th-St-APT-4B-New-York-NY-10009/2131542942_zpid/","http://www.zillow.com/homes/2131542942_zpid/","http://www.zillow.com/homes/comps/2131542942_zpid/","120 E 7th St APT 4B","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
"11","2131798322","https://www.zillow.com/homedetails/120-E-7th-St-APT-5B-New-York-NY-10009/2131798322_zpid/","http://www.zillow.com/homes/2131798322_zpid/","http://www.zillow.com/homes/comps/2131798322_zpid/","120 E 7th St APT 5B","10009","New York","NY","40.726175","-73.984382","830897","11/20/2018","-10898","573319","1063548","0"
